NormalisedPO,after,BinDeliveryID,BinDeliveryNo,HarvestDate,RPIN,ProductionSite,MaturityCode,Storage type,PickNo,BinQty,InputKgs,StorageDays,Owner,Orchard,Grow System,RootStock,Latitude,Longitude,Hectares,Ethrel,Harvista,OrchardAge,RAPFactor,RAPPO,CRAPPO,FinalPackout,EffExportKgs,Prop53,Prop58,Prop63,Prop67,Prop72,WAMPA,NoApples,53,58,63,67,72,RTE53,RTE58,RTE63,RTE67,RTE72,TotalRTEs,Source
0.6301309573026063,96,14329,19230,2024-04-05,R2776,B,B,Smartfreshed,2nd Pick,4,1680,94,ROLP 2,Haumoana,Spindle,M9,-39.636833,176.925771,3.8280000000000003,0,1,10,0.9490435110777986,0.5980216961572798,0.6084547269728202,0.6084547269728202,1022.203941314338,0.11785043959300602,0.25917876782245053,0.5358753992558201,0.07797425005762455,0.009121143271098819,78.59873884553329,13005.34787616925,1532.6859642665133,3370.71003764787,6969.245985603028,1014.0822473828175,118.62364126902047,306.53719285330266,674.142007529574,1393.8491971206056,202.8164494765635,29.655910317255117,2607.000757297301,ProdSite
0.5779599552194576,96,14288,16967,2024-04-05,R2724,A,C,Smartfreshed,2nd Pick,20,8400,94,ROLP 2,Omahu,Spindle,M9,-39.555005,176.698555,4.2700000000000005,0,1,11,0.9490435110777986,0.5485091451638413,0.558078384626008,0.558078384626008,4687.858430858467,0.16014376928679994,0.3176195845565721,0.4649400307394702,0.052745399741051524,0.004551215676106288,74.35902669148115,63043.5690115821,10096.034770807253,20023.872198422287,29311.478914170893,3325.2582486184665,286.92487956320105,2019.2069541614505,4004.7744396844573,5862.295782834179,665.0516497236933,71.73121989080026,12623.06004629458,ProdSite
0.5783773104743273,95,14273,19750,2024-04-04,R2776,A,C,Smartfreshed,2nd Pick,1,420,94,ROLP 2,Haumoana,Spindle,M9,-39.636833,176.925771,4.4959999999999996,0,1,10,0.9490435110777986,0.5489052334602896,0.5584813830419871,0.5584813830419871,234.5621808776346,0.07016120460584588,0.19434189548272807,0.585406554472985,0.12826926483613818,0.021821080602302922,84.53529743135518,2774.72473635176,194.6780299520776,539.2452647054139,1624.3420475186454,355.9119020544876,60.54749212113548,38.93560599041552,107.84905294108277,324.8684095037291,71.18238041089752,15.13687303028387,557.9723218764087,ProdSite
0.7397311155389362,86,13560,14511,2024-03-26,R1639,A,B,CA Smartfresh,1st Pick,11,4620,94,ROLP 2,Napier Road Central,Twin Leader,MM106,-39.6334528,176.8951717,1.54,0,1,10,0.9490435110777986,0.7020370151445687,0.7142846875278914,0.7142846875278914,3299.9952563788584,0.27037643906682823,0.3250889993114896,0.3663302394842043,0.035402244864192654,0.002802077273285262,71.69021834853571,46031.31825230745,12445.783914610784,14964.275187631336,16862.663839141413,1629.612000189769,128.9833107341518,2489.1567829221567,2992.855037526267,3372.5327678282824,325.9224000379538,32.24582768353795,9212.712815998198,ProdSite
0.739873195039017,85,13561,14512,2024-03-25,R1639,A,B,CA Smartfresh,1st Pick,3,1260,94,ROLP 2,Napier Road Central,Twin Leader,MM106,-39.6334528,176.8951717,1.54,0,1,10,0.9490435110777986,0.7021718547721776,0.7144218795550855,0.7144218795550855,900.1715682394077,0.27037643906682823,0.3250889993114896,0.3663302394842043,0.035402244864192654,0.002802077273285262,71.69021834853571,12556.407121862168,3394.9566450824545,4081.949826193834,4599.791628012937,444.52499954265704,35.18402303028719,678.9913290164909,816.3899652387668,919.9583256025874,88.90499990853141,8.796005757571798,2513.040625523948,ProdSite
0.7410390489980643,85,13513,14505,2024-03-25,R1639,A,B,CA Smartfresh,1st Pick,12,5040,94,ROLP 2,Napier Road Central,Twin Leader,MM106,-39.6334528,176.8951717,1.54,0,1,10,0.9490435110777986,0.7032783009068757,0.7155476286460027,0.7155476286460027,3606.3600483758537,0.27037643906682823,0.3250889993114896,0.3663302394842043,0.035402244864192654,0.002802077273285262,71.69021834853571,50304.77143817367,13601.224969524086,16353.527807429084,18428.158968144322,1780.9018362914692,140.95785678471603,2720.2449939048174,3270.705561485817,3685.631793628864,356.1803672582938,35.23946419617901,10068.002180473972,ProdSite
0.7401322736965831,85,13516,14507,2024-03-25,R1639,A,B,CA Smartfresh,1st Pick,5,2100,94,ROLP 2,Napier Road Central,Twin Leader,MM106,-39.6334528,176.8951717,1.54,0,1,10,0.9490435110777986,0.7024177316909994,0.7146720460197338,0.7146720460197338,1500.811296641441,0.27037643906682823,0.3250889993114896,0.3663302394842043,0.035402244864192654,0.002802077273285262,71.69021834853571,20934.67325409667,5660.242407470227,6805.631979087292,7669.003866696799,741.1344286933952,58.6605721489571,1132.0484814940453,1361.1263958174584,1533.80077333936,148.22688573867904,14.665143037239275,4189.867679426782,ProdSite
0.738953879566238,86,13555,14509,2024-03-26,R1639,A,B,CA Smartfresh,1st Pick,5,2100,94,ROLP 2,Napier Road Central,Twin Leader,MM106,-39.6334528,176.8951717,1.54,0,1,10,0.9490435110777986,0.7012993843881032,0.7135341881339464,0.7135341881339464,1498.4217950812874,0.27037643906682823,0.3250889993114896,0.3663302394842043,0.035402244864192654,0.002802077273285262,71.69021834853571,20901.342325342393,5651.230509642855,6794.796460812442,7656.7937395840145,739.9544389920853,58.567176310997255,1130.246101928571,1358.9592921624885,1531.358747916803,147.99088779841708,14.641794077749314,4183.196823884029,ProdSite
0.7478596274150484,86,13627,14519,2024-03-26,R1639,A,A,CA Smartfresh,1st Pick,4,1680,94,ROLP 2,Napier Road Central,Twin Leader,MM106,-39.6334528,176.8951717,1.54,0,1,10,0.9490435110777986,0.7097513265953118,0.7221335821377464,0.7221335821377464,1213.184417991414,0.27037643906682823,0.3250889993114896,0.3663302394842043,0.035402244864192654,0.002802077273285262,71.69021834853571,16922.593429598524,4575.470551270553,5501.348963783373,6199.25770375865,599.0977963318247,47.41841445412452,915.0941102541107,1100.2697927566746,1239.85154075173,119.81955926636495,11.85460361353113,3386.8896066424113,ProdSite
0.7574005760466227,86,13628,14520,2024-03-26,R1639,B,A,CA Smartfresh,1st Pick,2,840,94,ROLP 2,Napier Road Central,Spindle,M9/M116,-39.6334528,176.8951717,1.575,0,1,10,0.9490435110777986,0.718806101983634,0.7313463262941938,0.7313463262941938,614.3309140871228,0.2720749212681363,0.3124688339151003,0.3714730658361044,0.039113936539851256,0.0048692424408077715,70.95534296693128,8657.993723931846,2355.6229607787755,2705.3532029612406,3216.2114726187133,338.6482170803007,42.15787049281627,471.12459215575507,541.0706405922481,643.2422945237427,67.72964341606014,10.539467623204068,1733.70663831101,ProdSite
