GraderBatchID,GraderBatchNo,FarmCode,Orchard,ProductionSite,Owner,Bins,InputKgs,ExportKgs,PackOut,NormExportKgs,NormSFPackOut,RAPPO,CRAPPO,FinalPackOut,Packing site,PackoutDiff,53,58,63,67,72,BulkKgs,53A,58A,63A,67A,72A,BulkKgsA,Prop53,Prop58,Prop63s,m53,m58,m63s,mpa53,mpa58,mpa63s,WAAppleMass,BulkRTEs,53b,58b,63b,67b,72b,BulkARTEs,53Ab,58Ab,63Ab,67Ab,72Ab,UnadjustedRTEs,AdjustedRTEs
5010,21,R2534,Stock Road South,A,ROLP 1,24,10546.38,8908.38,0.8446860439316619,0,NA,NA,NA,0.8446860439316619,Te Ipu,0,7718.4,9424,8560,240,0,0,7718.4,9424,8560,240,0,0,0.42028266994034974,0.4410343579331728,0.13868297212647748,2946652.7,3743592.8000000003,1335093.9000000001,55.17352968711967,66.7973877667547,75.75860523179936,63.154849929962076,0,7718.4,9424,8560,240,0,0,7718.4,9424,8560,240,0,25942.4,25942.4
5011,22,R1580,Pioneer,A,Pioneer Capital Molly Limited,25,10728.38,9454.38,0.881249545597751,0,NA,NA,NA,0.881249545597751,Te Ipu,0,3936,7353,12688,990,156,0,3936,7353,12688,990,156,0,0.29546663046306665,0.5009673149373791,0.20356605459955424,1404112.1,2883724.2,1322255.1,53.76443942410783,65.12475609756098,73.48719502028567,63.470470307391196,0,3936,7353,12688,990,156,0,3936,7353,12688,990,156,25123,25123
5012,23,R1580,Pioneer,B,Pioneer Capital Molly Limited,54,23705.65,19791.65,0.8348916819408032,0,NA,NA,NA,0.8348916819408032,Te Ipu,0,4243.2,11134,28224,4305,1560,0,4243.2,11134,28224,4305,1560,0,0.1943346976113306,0.523275528953449,0.2823897734352204,1338803.5,4333676.9,2620055.1,54.32794302641724,65.31047999397182,73.16750258314948,65.39493482221013,0,4243.2,11134,28224,4305,1560,0,4243.2,11134,28224,4305,1560,49466.2,49466.2
5013,25,R1580,Pioneer,A,Pioneer Capital Molly Limited,25,10646.2,9306.2,0.8741334936409235,0,NA,NA,NA,0.8741334936409235,Te Ipu,0,2496,5624,13392,1620,456,0,2496,5624,13392,1620,456,0,0.2226000316305551,0.5216194844219516,0.25578048394749325,756760.2000000001,2144533.8,1182922.5,53.766266429840144,65.02133891213388,73.14181042478205,64.5930175549581,0,2496,5624,13392,1620,456,0,2496,5624,13392,1620,456,23588,23588
5014,26,R2534,Stock Road South,B,ROLP 1,19,8304.38,7173.379999999999,0.8638068103819911,0,NA,NA,NA,0.8638068103819911,Te Ipu,0,3206.4,6764,9120,450,48,0,3206.4,6764,9120,450,48,0,0.3223627841338642,0.48973086033970065,0.18790635552643517,1389692.8,2549575.5,1101846,54.31882426516573,65.59743484189673,73.88493260913297,63.518904037094906,0,3206.4,6764,9120,450,48,0,3206.4,6764,9120,450,48,19588.4,19588.4
5015,27,R2219,IND- Longacre Orchard (RLA),B,Rockit Longacre,31,13630.93,12497.93,0.9168802128688212,0,NA,NA,NA,0.9168802128688212,Te Ipu,0,4627.2,11134,16448,930,216,0,4627.2,11134,16448,930,216,0,0.24010875008943264,0.5308453173070043,0.22904593260356299,1484251.5,3926971.2,1905644.2,55.28350342669845,66.1585187930657,74.40725469524813,65.43667185375975,0,4627.2,11134,16448,930,216,0,4627.2,11134,16448,930,216,33355.2,33355.2
5016,28,R2919,Valley,B,Rockit Orchards Limited,32,13899.09,11636.09,0.8371835854001952,0,NA,NA,NA,0.8371835854001952,Te Ipu,0,5683.2,10792,14512,933,168,0,5683.2,10792,14512,933,168,0,0.2798036301961364,0.525709350905993,0.1944870188978706,1930674.7,4354895.4,1818748.8,53.68353631409187,64.4491779017626,72.75577246179695,63.05243711731618,0,5683.2,10792,14512,933,168,0,5683.2,10792,14512,933,168,32088.2,32088.2
5017,29,R2919,Valley,A,Rockit Orchards Limited,48,20820,16043.000000000002,0.7705571565802114,0,NA,NA,NA,0.7705571565802114,Te Ipu,0,6662.4,13547,20576,1875,408,0,6662.4,13547,20576,1875,408,0,0.2733442880617275,0.5119668500392941,0.21468886189897834,2268500.6,5100424.8,2410565.2,53.90154920876301,64.70485372846522,72.92588715776736,63.5167964563835,0,6662.4,13547,20576,1875,408,0,6662.4,13547,20576,1875,408,43068.4,43068.4
5018,30,R2919,Valley,A,Rockit Orchards Limited,6,2624,1968,0.75,0,NA,NA,NA,0.75,Te Ipu,0,345.6,950,2848,465,192,0,345.6,950,2848,465,192,0,0.19536876652383992,0.5064272039383718,0.2982040295377883,117549.8,366481.8,241283.1,54.85291647223519,65.97332133213321,73.76432283705289,66.12404959431124,0,345.6,950,2848,465,192,0,345.6,950,2848,465,192,4800.6,4800.6
5019,31,R1230,Home Block,E,ROLP 1,23,9773.79,8549.79,0.8747671067211389,0,NA,NA,NA,0.8747671067211389,Te Ipu,0,4512,8227,10464,420,48,0,4512,8227,10464,420,48,0,0.3020984121020586,0.5014420367525996,0.19645955114534183,1524463.9000000001,3022023.9,1331271.1,55.76150919931234,66.59520703409066,74.87885145396254,64.94976518558627,0,4512,8227,10464,420,48,0,4512,8227,10464,420,48,23671,23671
5020,24,R1580,Pioneer,B,Pioneer Capital Molly Limited,7,3097.51,2738.51,0.8841004548815016,0,NA,NA,NA,0.8841004548815016,Te Ipu,0,940.8000000000001,1900,3904,345,72,0,940.8000000000001,1900,3904,345,72,0,0.20338532435306628,0.5443548387096774,0.2522598369372563,248262.1,799179.4,414969.5,54.087603485838784,65.05326821326821,72.89118215352187,64.80020382842963,0,940.8000000000001,1900,3904,345,72,0,940.8000000000001,1900,3904,345,72,7161.8,7161.8
5021,32,R1021,IND - Riverside Apples,C,Rowelans Trading Limited,17,7443.12,6241.12,0.838508582422425,0,NA,NA,NA,0.838508582422425,Te Ipu,0,5241.5999999999995,5795,6288,435,132,0,5241.5999999999995,5795,6288,435,132,0,0.4674891840225375,0.3966193782070631,0.13589143777039944,2027821.4000000001,2092933.8,810364.5,54.55385650103576,66.36649543378995,74.99902822767237,62.01730179092465,0,5241.5999999999995,5795,6288,435,132,0,5241.5999999999995,5795,6288,435,132,17891.6,17891.6
5022,33,R1580,Pioneer,A,Pioneer Capital Molly Limited,15,6679.66,5399.66,0.8083734800873098,0,NA,NA,NA,0.8083734800873098,Te Ipu,0,1017.5999999999999,2983,8272,1020,252,0,1017.5999999999999,2983,8272,1020,252,0,0.19216832261835184,0.5144944476914085,0.2933372296902396,357116.60000000003,1146130.1,731502.2000000001,54.30605231143553,65.09883562421902,72.87330145447301,65.30534482758621,0,1017.5999999999999,2983,8272,1020,252,0,1017.5999999999999,2983,8272,1020,252,13544.6,13544.6
