PlantingID,PlantingCode,RootStock,RowSpacing,TreeSpacing,YearPlanted,FirstSeason,Grow System,PIN,Orchard,Address1,TownCity,Latitude,Longitude,OrchardGroupID,Grower,OrchardGroup,PlantingSeasonID,QtyTrees,QtyRows,Hectares,ManagementArea,Subdivision
106,SIM1 A2,M.9,3,1.4,2018,2021,Spindle,R2900,Sim 1,1004 Puketapu Road,Hastings,-39.49919,176.81352,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2550,3660,32,1.62,A2,A
107,SIM1 B1,M.9,3,1.4,2018,2021,Spindle,R2900,Sim 1,1004 Puketapu Road,Hastings,-39.49919,176.81352,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2337,2571,32,1.138,B1,B
108,SIM1 B2,M.9,3,1.4,2018,2021,Spindle,R2900,Sim 1,1004 Puketapu Road,Hastings,-39.49919,176.81352,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2627,4377,30,1.918,B2,B
109,SIM1 B3,M.9,3,1.4,2018,2021,Spindle,R2900,Sim 1,1004 Puketapu Road,Hastings,-39.49919,176.81352,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2416,5578,43,2.448,B3,B
110,SIM1 C1,M.9,3,1.4,2019,2021,Spindle,R2900,Sim 1,1004 Puketapu Road,Hastings,-39.49919,176.81352,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2233,3126,25,1.367,C1,C
111,SIM1 C2,M.9,3,1.4,2019,2021,Spindle,R2900,Sim 1,1004 Puketapu Road,Hastings,-39.49919,176.81352,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2524,3569,31,1.592,C2,C
112,SIM1 D1,M.9,3,1.4,2019,2021,Spindle,R2900,Sim 1,1004 Puketapu Road,Hastings,-39.49919,176.81352,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2312,3010,30,1.559,D1,D
113,SIM1 D2,M.9,3,1.4,2019,2021,Spindle,R2900,Sim 1,1004 Puketapu Road,Hastings,-39.49919,176.81352,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2604,3409,38,1.957,D2,D
114,RANGI2 A,M.793,4,2,2019,2021,Spindle,R2901,Rangi 2,611 Puketitiri Road,Hastings,-39.48168,176.809,10,ROLP 2,Crownthorpe Sector,2390,1480,19,1.159,A,A
115,RANGI2 B,M.793,4,2,2019,2021,Spindle,R2901,Rangi 2,611 Puketitiri Road,Hastings,-39.48168,176.809,10,ROLP 2,Crownthorpe Sector,2543,1626,19,1.4,B,B
116,RANGI2 C,M.793,4,2,2019,2021,Spindle,R2901,Rangi 2,611 Puketitiri Road,Hastings,-39.48168,176.809,10,ROLP 2,Crownthorpe Sector,2495,1634,19,1.306,C,C
117,CROWN A1,M.9,3,1.4,2019,2021,Spindle,R2924,Crown,122 Matapiro Road,Hastings,-39.552189,176.6707416,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2284,4235,71,1.865,A1,A
118,CROWN A2,M.9,3,1.4,2019,2021,Spindle,R2924,Crown,122 Matapiro Road,Hastings,-39.552189,176.6707416,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2463,6500,85,2.851,A2,A
119,CROWN B1,M.9,3,1.4,2019,2021,Spindle,R2924,Crown,122 Matapiro Road,Hastings,-39.552189,176.6707416,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2361,4223,62,1.83792,B1,B
120,CROWN B2,M.9,3,1.4,2020,2022,Spindle,R2924,Crown,122 Matapiro Road,Hastings,-39.552189,176.6707416,10,Rakete Orchards Limited Partnership,Crownthorpe Sector,2622,3718,69,1.661,B2,B
121,MANZ2 A,M.9,3,1.4,2019,2022,Spindle,R2925,IND - Manzana 2,"298 Moteo Pa Road, Puketapu",Hastings,-39.524245,176.757605,9,Manzana Orchard Limited Partnership,Independent Sector,2355,8413,104,3.57504,A,A
122,MANZ2 B,M.9,3,1.4,2019,2021,Spindle,R2925,IND - Manzana 2,"298 Moteo Pa Road, Puketapu",Hastings,-39.524245,176.757605,9,Manzana Orchard Limited Partnership,Independent Sector,2258,9173,76,3.95598,B,B
123,MANZ2 C,M.9,3,1.4,2019,2021,Spindle,R2925,IND - Manzana 2,"298 Moteo Pa Road, Puketapu",Hastings,-39.524245,176.757605,9,Manzana Orchard Limited Partnership,Independent Sector,2434,4120,43,1.86858,C,C
124,MANA1 - A1,M.9,3,1.4,2020,2021,2D,R2926,Mana 1,"118 Stock Road, Bridge Pa",Hastings,-39.645683,176.786331,6,Mana Orchards Limited Partnership,Maraekakaho Sector,2224,7440,63,3.26,A1,A
125,MANA1 - A2,M.9,3,1.4,2020,2021,2D,R2926,Mana 1,"118 Stock Road, Bridge Pa",Hastings,-39.645683,176.786331,6,Mana Orchards Limited Partnership,Maraekakaho Sector,2598,6231,64,2.757,A2,A
126,MANA1 - B2,M.9,3,1.4,2020,2021,2D,R2926,Mana 1,"118 Stock Road, Bridge Pa",Hastings,-39.645683,176.786331,6,Mana Orchards Limited Partnership,Maraekakaho Sector,2327,6933,64,3.07,B2,B
127,MANA1 - B1,M.9,3,1.4,2020,2021,2D,R2926,Mana 1,"118 Stock Road, Bridge Pa",Hastings,-39.645683,176.786331,6,Mana Orchards Limited Partnership,Maraekakaho Sector,2562,6923,65,3.068,B1,B
128,MANA2 - A1,M.9,3,1.4,2020,2021,2D,R2927,Mana 2,"116 Stock Road, Bridge Pa",Hastings,-39.64471,176.788918,6,Mana Orchards Limited Partnership,Maraekakaho Sector,2518,6385,50,2.769,A1,A
129,MANA2 - A2,M.9,3,1.4,2020,2021,2D,R2927,Mana 2,"116 Stock Road, Bridge Pa",Hastings,-39.64471,176.788918,6,Mana Orchards Limited Partnership,Maraekakaho Sector,2198,5889,49,2.569,A2,A
130,MANA2 - B2,M.9,3,1.4,2020,2021,2D,R2927,Mana 2,"116 Stock Road, Bridge Pa",Hastings,-39.64471,176.788918,6,Mana Orchards Limited Partnership,Maraekakaho Sector,2458,6263,50,2.783,B2,B
131,MANA2 - B1,M.9,3,1.4,2020,2021,2D,R2927,Mana 2,"116 Stock Road, Bridge Pa",Hastings,-39.64471,176.788918,6,Mana Orchards Limited Partnership,Maraekakaho Sector,2410,6271,50,2.756,B1,B
132,LONGACR A1,CG202,3.5,1.4,2019,2022,Spindle,R2219,IND- Longacre Orchard (RLA),1795 Korokipo Road,Hastings,-39.5792832,176.7679864,9,Rockit Long Acre,Independent Sector,2538,2377,20,1.208,A1,A
133,LONGACR B1,M.9,3,1.4,2020,2022,2D,R2219,IND- Longacre Orchard (RLA),1795 Korokipo Road,Hastings,-39.5792832,176.7679864,9,Rockit Long Acre,Independent Sector,2378,4246,32,1.807,B1,B
134,LONGACR B2,M.9,3,1.6,2023,2022,2D,R2219,IND- Longacre Orchard (RLA),1795 Korokipo Road,Hastings,-39.5792832,176.7679864,9,Rockit Long Acre,Independent Sector,2612,3628,32,1.726,B2,B
137,OMAHU B1,CG202,2.2,2.8,2021,2022,FOPS,R2724,Omahu,721 Taihape Road,Hastings,-39.555005,176.698555,10,ROLP 2,Crownthorpe Sector,2506,453,28,0.3,B1,B
138,OMAHU B2,CG202,2.2,2.8,2021,2022,FOPS,R2724,Omahu,721 Taihape Road,Hastings,-39.555005,176.698555,10,ROLP 2,Crownthorpe Sector,2350,701,18,0.46,B2,B
135,RLA F,M.9,3,1.4,2020,2022,Spindle,R2219,IND- Longacre Orchard (RLA),1795 Korokipo Road,Hastings,-39.5792832,176.7679864,9,Rockit Long Acre,,,,,,,
144,LOWRY D1,CG202,2.5,1.4,2022,2022,2D,R2918,Lowry,76 Matapiro Rd,Hastings,-39.5503448,176.6750354,10,Rockit Orchards Limited,Crownthorpe Sector,2557,4795,36,1.693,D1,D
136,OMAHU FB,CG202,2.2,2.8,2021,2022,FOPS,R2724,Omahu,721 Taihape Road,Hastings,-39.555005,176.698555,10,ROLP 2,,,,,,,
145,LOWRY D2,M9,2.5,1.4,2022,2022,2D,R2918,Lowry,76 Matapiro Rd,Hastings,-39.5503448,176.6750354,10,Rockit Orchards Limited,Crownthorpe Sector,2372,4847,36,1.772,D2,D
146,LOWRY D4,M.9,2.2,2.4,2021,2022,FOPS,R2918,Lowry,76 Matapiro Rd,Hastings,-39.5503448,176.6750354,10,Rockit Orchards Limited,Crownthorpe Sector,2552,2800,55,1.733,D4,D
147,LOWRY D3,CG202,2.2,2.8,2020,2022,FOPS,R2918,Lowry,76 Matapiro Rd,Hastings,-39.5503448,176.6750354,10,Rockit Orchards Limited,Crownthorpe Sector,2451,2728,41,1.733,D3,D
139,OMAHU FG,CG202,2.2,2.8,2021,2022,FOPS,R2724,Omahu,721 Taihape Road,Hastings,-39.555005,176.698555,10,ROLP 2,,,,,,,
148,LOWRY F1,M.9,2.2,2.4,2022,2022,FOPS,R2918,Lowry,76 Matapiro Rd,Hastings,-39.5503448,176.6750354,10,Rockit Orchards Limited,Crownthorpe Sector,2297,3034,72,1.619,F1,F
140,LOWRY 10,M9,3,1.4,2020,2022,Spindle,R2918,Lowry,76 Matapiro Rd,Hastings,-39.5503448,176.6750354,10,Rockit Orchards Limited,,,,,,,
150,RMS SECTOR,,,,2022,2022,,,,,,,,,,RMS Sector,2343,0,0,0,,
141,LOWRY NUR,M116/CG202,3,1,2020,2022,Spindle,R2918,Lowry,76 Matapiro Rd,Hastings,-39.5503448,176.6750354,10,Rockit Orchards Limited,,,,,,,
156,VALLEY A1,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2497,5758,47,2.487,A1,A
142,LOWRY 4,M9,3,1.4,2020,2022,Spindle,R2918,Lowry,76 Matapiro Rd,Hastings,-39.5503448,176.6750354,10,Rockit Orchards Limited,,,,,,,
157,VALLEY A2,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2398,6489,42,2.841,A2,A
143,LOWRY 8,M9,3,1.4,2020,2022,Spindle,R2918,Lowry,76 Matapiro Rd,Hastings,-39.5503448,176.6750354,10,Rockit Orchards Limited,,,,,,,
158,VALLEY B1,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2576,8197,64,3.653,B1,B
159,VALLEY B2,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2363,9167,68,3.886,B2,B
160,VALLEY B3,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2292,3083,68,1.381,B3,B
161,VALLEY C3,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2470,5038,59,2.211,C3,C
162,VALLEY C2,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2260,8114,60,3.556,C2,C
163,VALLEY C1,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2548,8048,60,3.518,C1,C
149,OMA SECTOR,,,,2022,2022,,.,Omahu Sector,,,,,10,Omahu,,,,,,,
164,VALLEY D1,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2335,8825,60,3.875,D1,D
165,VALLEY D2,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2623,8099,60,3.55,D2,D
166,VALLEY D3,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2442,6864,57,3.167,D3,D
167,VALLEY E4,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2231,1835,60,0.828,E4,E
168,VALLEY E3,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2520,7728,60,3.392,E3,E
169,VALLEY E2,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2307,8141,59,3.517,E2,E
170,VALLEY E1,M.9,3,1.4,2020,2023,2D,R2919,Valley,38 Valley Road,"Maraekakaho, Hastings 4171",-39.6497803,176.6611024,6,Rockit Orchards Limited,Maraekakaho Sector,2601,7207,59,3.207,E1,E
