BinSource,ContractVendor,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,Run,RunState,StorageType,Variety,VarietyStrain,Bins,KGsTotal,KGsExport,TCEsExport,KGsLocal,TCEsLocal,KGsProcess,TCEsProcess,KGsNonProcess,AvgSizeDenominator,AvgSizeNumerator
Orchard pick,Rockit Trading Company Ltd,Springhill East,30,R2949,R2949M,10/06/2024,P1281,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),141,58839.764,53446.644,2969.258,0,0,5393.12,299.6177748,53446.644,1050.264,126031.68
Orchard pick,Rockit Trading Company Ltd,MANZANA 2,A,R2925,R2925A,24/06/2024,P1314,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),82,34996.94,29033.74,1612.98545,0,0,5963.2,331.2888856,29033.74,10491.588,1873996.56
Pre-sized,Rockit Trading Company Ltd,HAU,A2,R2776,R2776A,26/06/2024,PE1169,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),53,19080,19080,1060,0,0,0,0,19080,6840,1333800
Pre-sized,Rockit Trading Company Ltd,Valley,A1,R2919,R2919A,2/06/2024,PE1145,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),26,9360,9360,520,0,0,0,0,9360,3600,702000
Orchard pick,Rockit Trading Company Ltd,Longlands,,R2329,R2329D,11/06/2024,P1286,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),51,21551.264,19392.264,1077.348,0,0,2159,119.9444432,19392.264,1979.496,237539.52
Orchard pick,Rockit Trading Company Ltd,Crown,,R2924,R2924A,24/07/2024,P1379,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),196,83705.888,73509.048,4083.836,0,0,10196.84,566.4911054,73509.048,1400.148,168017.76
Pre-sized,Rockit Trading Company Ltd,Steel,D,R1149,R1149D,23/08/2024,PE1204,Final report sent,Smartfresh CA,Rockit (TM) (996),Rockit (TM) (996),14,5040,5040,280,0,0,0,0,5040,0,0
Orchard pick,Rockit Trading Company Ltd,Rockit Manzana,D2,R2879,R2879D,6/08/2024,P1394,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),42,18016.924,13900.284,772.238,0,0,4116.64,228.7022199,13900.284,350.028,42003.36
Orchard pick,Rockit Trading Company Ltd,Rockit Manahi,,R2880,R2880A,8/07/2024,P1344,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),232,93724.852,83351.772,4630.654,0,0,10373.08,576.2822165,83351.772,30471.768,5614098.66
Pre-sized,Rockit Trading Company Ltd,Springhill East,32,R2949,R2949O,24/07/2024,PE1176,Final report sent,Smartfresh Air,Rockit (TM) (996),Rockit (TM) (996),141,50760,50760,2820,0,0,0,0,50760,360,43200
