OrchardDesc,PIN,Manager,OrchardGroup,Planting code,Variety code,Variety,Strain of,Produce,Root stock,Growing system,Row spacing,Tree spacing,Planted,Grafted,BioGro year,First season,Last season,Notes,Tags (planting),# trees,# rows,Hectares,Growing method,Mgmt. area,Prod. site,Clearance,Tags (season)
IND - Huawhenua - Home,R1751,,Independent Sector,HUA-B2,996,Rockit,,Apples,CG202,,3.5,1.5,2019,,,2022,,,,1395,1,1.03,Conventional,B2,B,,
IND - Huawhenua - Home,R1751,,Independent Sector,HUA-B2.2,996,Rockit,,Apples,MM102,,4.1,1.8,2018,,,2021,,,,0,0,0,Conventional,,,,Non-production
IND - Huawhenua - Home,R1751,,Independent Sector,HUA-B3,996,Rockit,,Apples,CG202,Spindle,3.4,1.5,2023,,,2024,,,,1430,0,0.73,Conventional,B3,B,,
IND - Kararua,R2934,,Independent Sector,KAR-ROCK1,996,Rockit,,Apples,M9,,,,2021,,,2023,,,,0,0,2.13,Conventional,ROCK1,F,,
IND - Kararua,R2934,,Independent Sector,KAR-ROCK10,996,Rockit,,Apples,M9,,,,2021,,,2023,,,,0,0,2.15,Conventional,RCK10,E,,
IND - Kararua,R2934,,Independent Sector,KAR-ROCK2,996,Rockit,,Apples,M9,,,,2021,,,2023,,,,0,0,1.95,Conventional,ROCK2,B,,
IND - Kararua,R2934,,Independent Sector,KAR-ROCK3,996,Rockit,,Apples,M9,,,,2021,,,2023,,,,0,0,1.95,Conventional,ROCK3,F,,
IND - Kararua,R2934,,Independent Sector,KAR-ROCK4,996,Rockit,,Apples,M9,,,,2021,,,2023,,,,0,0,1.98,Conventional,ROCK4,B,,
IND - Kararua,R2934,,Independent Sector,KAR-ROCK5,996,Rockit,,Apples,M9,,,,2021,,,2023,,,,0,0,1.98,Conventional,ROCK5,F,,
IND - Kararua,R2934,,Independent Sector,KAR-ROCK6,996,Rockit,,Apples,M9,,,,2021,,,2023,,,,0,0,0.61,Conventional,ROCK6,F,,
IND - Kararua,R2934,,Independent Sector,KAR-ROCK7,996,Rockit,,Apples,M9,,,,2021,,,2023,,,,0,0,1.5,Conventional,ROCK7,D,,
IND - Kararua,R2934,,Independent Sector,KAR-ROCK8,996,Rockit,,Apples,M9,,,,2021,,,2023,,,,0,0,2.15,Conventional,ROCK8,E,,
IND - Kararua,R2934,,Independent Sector,KAR-ROCK9,996,Rockit,,Apples,M9,,,,2021,,,2023,,,,0,0,1.51,Conventional,ROCK9,D,,
IND - Kahahakrui,R2969,,Independent Sector,KHK-38,996,Rockit,,Apples,M9,,1.6,3.2,2023,,,2024,,,,967,0,0.5,Conventional,38,A,,
IND - Kahahakrui,R2969,,Independent Sector,KHK-39,996,Rockit,,Apples,M9,,1.6,3.2,2023,,,2024,,,,5183,0,2.67,Conventional,39,A,,
IND - Kahahakrui,R2969,,Independent Sector,KHK-40,996,Rockit,,Apples,M9,,1.6,3.2,2023,,,2024,,,,6716,0,3.45,Conventional,40,B,,
IND - Kahahakrui,R2969,,Independent Sector,KHK-41,996,Rockit,,Apples,M9,,1.6,3.2,2023,,,2024,,,,4258,0,2.2,Conventional,41,C,,
IND - Kahahakrui,R2969,,Independent Sector,KHK-42,996,Rockit,,Apples,M9,,1.6,3.2,2023,,,2024,,,,4393,0,2.26,Conventional,42,D,,
IND - Kahahakrui,R2969,,Independent Sector,KHK-43,996,Rockit,,Apples,M9,,1.6,3.2,2023,,,2024,,,,5161,0,2.66,Conventional,43,E,,
IND - Kahahakrui,R2969,,Independent Sector,KHK-44,996,Rockit,,Apples,M9,,1.6,3.2,2023,,,2024,,,,6678,0,3.43,Conventional,44,F,,
IND - Kahahakrui,R2969,,Independent Sector,KHK-45,996,Rockit,,Apples,M9,,1.6,3.2,2023,,,2024,,,,6775,0,3.48,Conventional,45,G,,
IND - Kahahakrui,R2969,,Independent Sector,KHK-46,996,Rockit,,Apples,M9,,1.6,3.2,2023,,,2024,,,,6760,0,3.48,Conventional,46,H,,
IND - Kahahakrui,R2969,,Independent Sector,KHK-47,996,Rockit,,Apples,M9,,1.6,3.2,2023,,,2024,,,,5882,0,3.03,Conventional,47,I,,
IND - Kahahakrui,R2969,,Independent Sector,KHK-48,996,Rockit,,Apples,M9,,1.6,3.2,2023,,,2024,,,,6755,0,3.47,Conventional,48,J,,
IND - Kahahakrui,R2969,,Independent Sector,KHK-49,996,Rockit,,Apples,M9,,1.6,3.2,2023,,,2024,,,,6796,0,3.49,Conventional,49,K,,
IND - Kahahakrui,R2969,,Independent Sector,KHK-50,996,Rockit,,Apples,M9,,1.6,3.2,2023,,,2024,,,,5746,0,2.96,Conventional,50,L,,
IND - Korokipo orchard,R1173,,Independent Sector,KKO-A,996,Rockit,,Apples,Cg202,,2,3,2023,,,2024,,,,3115,0,1.87,Conventional,A,A,,
IND - Knight Road Horticulture,R2958,,Independent Sector,KNI-A,996,Rockit,,Apples,M9,2D,2.8,1.6,2022,,,2024,,,,2635,80,4.4,Conventional,A,D,,
IND - Korokipo,R2850,,Independent Sector,KOR-KCR1,996,Rockit,,Apples,M.9,2D,2.8,1.5,2018,,,2022,,,,5680,1,2.34,Conventional,KCR1,A,,
IND - Korokipo,R2850,,Independent Sector,KOR-KCR2,996,Rockit,,Apples,M.9,2D,2.8,1.5,2019,,,2022,,,,7754,1,3.25668,Conventional,KCR2,C,,
IND - Korokipo,R2850,,Independent Sector,KOR-KCR3,996,Rockit,,Apples,M.9,2D,2.8,1.5,2019,,,2022,,,,10938,1,4.59396,Conventional,KCR3,E,,
IND - Korokipo,R2850,,Independent Sector,KOR-KPR1,996,Rockit,,Apples,M.9,2D,2.8,1.5,2019,,,2022,,,,5763,1,2.42046,Conventional,KPR1,H,,
IND - Korokipo,R2850,,Independent Sector,KOR-KPR2,996,Rockit,,Apples,M.9,2D,2.8,1.5,2019,,,2022,,,,6348,1,2.66616,Conventional,KPR2,I,,
IND - Korokipo Verries,R2872,,Independent Sector,KOV-KVR1,996,Rockit,,Apples,M9,2D,2.8,1.5,2019,,,2022,,,,2726,0,1.14,Conventional,KVR1,B,,
IND - Korokipo Verries,R2872,,Independent Sector,KOV-KVR2,996,Rockit,,Apples,M9,2D,2.8,1.5,2019,,,2022,,,,3752,0,1.58,Conventional,KVR2,D,,
IND - Korokipo Verries,R2872,,Independent Sector,KOV-KVR3,996,Rockit,,Apples,M9,2D,2.8,1.5,2019,,,2022,,,,4296,0,1.8,Conventional,KVR3,H,,
IND - Korokipo Verries,R2872,,Independent Sector,KOV-KVR4,996,Rockit,,Apples,M9,2D,2.8,1.5,2019,,,2022,,,,2778,0,1.17,Conventional,KVR4,J,,
Lawn Road,R2917,Milap Sondh,Hastings Sector,LAWN A1,996,Rockit,,Apples,M.9,2D,3,1.4,2020,,,2021,,,,4311,40,1.903,Conventional,A1,A,,
Lawn Road,R2917,Milap Sondh,Hastings Sector,LAWN A2,996,Rockit,,Apples,M.9,2D,3,1.4,2020,,,2022,,,,4648,45,2.079,Conventional,A2,A,,
Lawn Road,R2917,Milap Sondh,Hastings Sector,LAWN B1,996,Rockit,,Apples,M.9,2D,3,1.4,2020,,,2022,,,,4300,40,1.914,Conventional,B1,B,,
Lawn Road,R2917,Milap Sondh,Hastings Sector,LAWN B2,996,Rockit,,Apples,M.9,2D,3,1.4,2020,,,2022,,,,5064,45,2.228,Conventional,B2,B,,
Lawn Road,R2917,Milap Sondh,Hastings Sector,LAWN C1,996,Rockit,,Apples,M.9,2D,3,1.4,2020,,,2022,,,,3768,39,1.685,Conventional,C1,C,,
Lawn Road,R2917,Milap Sondh,Hastings Sector,LAWN C2,996,Rockit,,Apples,M.9,2D,3,1.4,2020,,,2022,,,,4902,45,2.2,Conventional,C2,C,,
IND - Longlands,R2329,,Independent Sector,LGL A1,996,Rockit,,Apples,M.9,2D,2.5,1.6,2021,,,2022,,,Non-production,7517,64,3.0068,Conventional,A1,A,,
IND - Longlands,R2329,,Independent Sector,LGL A2,996,Rockit,,Apples,M.9,2D,2.5,1.6,2022,,,2022,,,Non-production,2442,37,0.9768,Conventional,A2,A,,
IND - Longlands,R2329,,Independent Sector,LGL B1,996,Rockit,,Apples,M.9,2D,2.5,1.6,2021,,,2022,,,Non-production,3862,54,1.5448,Conventional,B1,B,,
IND - Longlands,R2329,,Independent Sector,LGL B2,996,Rockit,,Apples,M.9,2D,2.5,1.6,2022,,,2022,,,Non-production,3909,53,1.5636,Conventional,B2,B,,
IND - Longlands,R2329,,Independent Sector,LGL B3,996,Rockit,,Apples,M.9,2D,2.5,1.6,2022,,,2022,,,Non-production,675,10,0.27,Conventional,B3,B,,
IND - Longlands,R2329,,Independent Sector,LGL B4,996,Rockit,,Apples,M.9,2D,2.5,1.6,2022,,,2022,,,Non-production,1559,23,0.6236,Conventional,B4,B,,
IND - Longlands,R2329,,Independent Sector,LGL C1,996,Rockit,,Apples,M.9,2D,2.5,1.6,2022,,,2022,,,Non-production,7158,64,2.8632,Conventional,C1,C,,
IND - Longlands,R2329,,Independent Sector,LGL C2,996,Rockit,,Apples,M.9,2D,2.5,1.6,2022,,,2022,,,Non-production,5787,64,2.3148,Conventional,C2,C,,
IND - Longlands,R2329,,Independent Sector,LGL D1,996,Rockit,,Apples,M.9,2D,2.5,1.6,2021,,,2022,,,Non-production,9659,64,3.8636,Conventional,D1,D,,
IND - Longlands,R2329,,Independent Sector,LGL D2,996,Rockit,,Apples,M.9,2D,2.5,1.6,2021,,,2022,,,Non-production,7948,98,3.1792,Conventional,D2,D,,
Lobb,R2899,Todd Blackman,Havelock Sector,LOBB A,996,Rockit,,Apples,CG202,Spindle,3.5,1.4,2019,,,2021,,,,5464,71,2.808,Conventional,A,A,,
Lobb,R2899,Todd Blackman,Havelock Sector,LOBB B,996,Rockit,,Apples,CG202,Spindle,3.5,1.4,2019,,,2021,,,,5311,70,2.731,Conventional,B,B,,
IND- Longacre Orchard (RLA),R2219,,Independent Sector,LONGACR A1,996,Rockit,,Apples,CG202,Spindle,3.5,1.4,2019,,,2022,,,,2377,20,1.208,Conventional,A1,A,,
IND- Longacre Orchard (RLA),R2219,,Independent Sector,LONGACR A2,996,Rockit,,Apples,CG202,Spindle,3.5,1.4,2019,,,2021,,,,2173,26,1.124,Conventional,A2,A,,
IND- Longacre Orchard (RLA),R2219,,Independent Sector,LONGACR B1,996,Rockit,,Apples,M.9,2D,3,1.4,2020,,,2022,,,,4246,32,1.807,Conventional,B1,B,,
IND- Longacre Orchard (RLA),R2219,,Independent Sector,LONGACR B2,996,Rockit,,Apples,M.9,2D,3,1.6,2023,,,2022,,,Non-production,3628,32,1.726,Conventional,B2,B,,
IND- Longacre Orchard (RLA),R2219,,Independent Sector,LONGACR C1,996,Rockit,,Apples,M.9,2D,3,1.6,2023,,,2021,,,,4841,32,2.335,Conventional,C1,C,,
IND- Longacre Orchard (RLA),R2219,,Independent Sector,LONGACR C2,996,Rockit,,Apples,M.9,2D,3,1.4,2020,,,2022,,,,2722,33,1.176,Conventional,C2,C,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY  A1,996,Rockit,,Apples,CG202,Spindle,2.8,1.4,2021,,,2022,,,,9202,70,3.749,Conventional,A1,A,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY  B2,996,Rockit,,Apples,CG41,Spindle,3,1.4,2021,,,2022,,,,804,15,0.436,Conventional,B2,B,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY A2,996,Rockit,,Apples,CG202,Spindle,2.8,1.4,2021,,,2022,,,,9091,70,3.761,Conventional,A2,A,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY B1,996,Rockit,,Apples,CG202,Twin Leader,2.8,1.4,2021,,,2022,,,,6604,63,2.727,Conventional,B1,B,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY B3,996,Rockit,,Apples,M.9,Spindle,3,1.4,2021,,,2021,,,,893,27,0.43,Conventional,B3,B,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY C1,996,Rockit,,Apples,CG202,FOPS,3,2.2,2021,,,2023,,,,4444,74,3.074,Conventional,C1,C,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY C2,996,Rockit,,Apples,CG202,FOPS,3,2.2,2021,,,2023,,,,4228,74,2.907,Conventional,C2,C,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY D1,996,Rockit,,Apples,CG202,2D,2.5,1.4,2022,,,2022,,,,4795,36,1.693,Conventional,D1,D,,
Lowry,R2918,Shane Crawford,Crownthorpe Sector,LOWRY D2,996,Rockit,,Apples,M9,2D,2.5,1.4,2022,,,2022,,,,4847,36,1.772,Conventional,D2,D,,
