BinSource,ContractVendor,Orchard,OrchardBlock,OrchardPIN,OrchardProdSite,PackDate,Run,RunState,StorageType,Bins,KGsTotal,KGsExport,TCEsExport,KGsLocal,TCEsLocal,KGsProcess,TCEsProcess,KGsNonProcess,AvgSizeDenominator,AvgSizeNumerator
Orchard pick,Rockit Trading Company Ltd,Paki Paki,PPRK1,R2786,R2786A,17/09/2024,P1485,Final report sent,Smartfresh CA,56,24822.8,17684.64,982.48,0,0,7138.16,396.5644405,17684.64,119.988,14398.56
Pre-sized,Rockit Trading Company Ltd,Mana2,B2,R2927,R2927B,19/08/2024,PE1199,Final report sent,Smartfresh CA,50,18000,18000,1000,0,0,0,0,18000,0,0
Orchard pick,Rockit Trading Company Ltd,Valley,,R2919,R2919E,15/10/2024,P1580,Final report sent,Smartfresh CA,61,26635.624,22046.824,1224.823555,0,0,4588.8,254.9333308,22046.824,9760.42,1752009.28
Pre-sized,Rockit Trading Company Ltd,Crown,A2,R2924,R2924A,3/10/2024,PE1302,Final report sent,Smartfresh CA,50,18000,18000,1000,0,0,0,0,18000,0,0
Orchard pick,Rockit Trading Company Ltd,Sim2,A1,R2886,R2886A,11/04/2024,P1150,Final report sent,Smartfresh Air,29,13030.382,11199.982,622.2207785,0,0,1830.4,101.6888879,11199.982,279.09,33490.8
Pre-sized,Rockit Trading Company Ltd,Dartmoor,DR4,R2851,R2851G,5/09/2024,PE1231,Final report sent,Smartfresh Air,67,24120,24120,1340,0,0,0,0,24120,360,43200
Orchard pick,Rockit Trading Company Ltd,Raukawa,C3,R1232,R1232C,15/10/2024,P1578,Final report sent,Smartfresh CA,14,5947.048,5180.448,287.8026664,0,0,766.6,42.58888846,5180.448,2439.336,433395.66
Pre-sized,Rockit Trading Company Ltd,Crown,A2,R2924,R2924A,9/09/2024,PE1242,Final report sent,Smartfresh Air,13,4680,4680,260,0,0,0,0,4680,1800,351000
Orchard pick,Rockit Trading Company Ltd,Korokipo Verries,KVR3,R2872,R2872H,6/08/2024,P1396,Final report sent,Smartfresh Air,22,9006.604,7318.044,406.558,0,0,1688.56,93.80888795,7318.044,0,0
Pre-sized,Rockit Trading Company Ltd,HAU,A1,R2776,R2776A,10/10/2024,PE1308,Final report sent,Smartfresh CA,141,50760,50760,2820,0,0,0,0,50760,19440,3736800
